epoch,train_mse,train_rmse,train_mae,val_mse,val_rmse,val_mae
1,0.5871001782401938,0.7662246264902961,0.43954812836555274,0.2986595755463005,0.5464975531018419,0.3066480973074513
2,0.470548862582243,0.6859656424211369,0.3872986265052141,0.2954617123289775,0.5435638990302589,0.2851288275532825
3,0.4573778224380048,0.6762971406401219,0.38094304011621843,0.2918476267727793,0.5402292353925131,0.2943751790030028
4,0.45109323572262705,0.671634748745646,0.3777145226084989,0.2912152133801932,0.5396435984797681,0.28886388822268416
5,0.44425754856637406,0.6665264800188917,0.37473479068569177,0.29782991556310523,0.5457379550325461,0.2988211114239949
6,0.4398648503678238,0.6632230773788136,0.3730279754320328,0.2860706334993724,0.5348557127855814,0.29262384658539164
7,0.43682200085772355,0.6609251098707959,0.3715005797474898,0.2887469519170061,0.5373517953045343,0.29200975608120683
8,0.4330050953797288,0.6580312267512302,0.37030313281190286,0.29053442515833405,0.5390124536208176,0.28960118711956084
9,0.4316186559744369,0.6569769067284152,0.3696694826671504,0.29106708773041284,0.5395063370623304,0.2909227710417522
10,0.42815802978403245,0.6543378559918663,0.3686776331649567,0.289914068807998,0.5384366896934105,0.2961069682913442
11,0.426430739986842,0.6530166460258436,0.3680140593673889,0.30496697113398585,0.5522381471195066,0.3179462133075601
