epoch,train_mse,train_rmse,train_mae,val_mse,val_rmse,val_mae
1,0.4579115071413321,0.6766915893827351,0.35778090430258214,0.2790118366870428,0.5282157103750729,0.2693725077375289
2,0.37365041330493304,0.6112695095495383,0.2860069603479265,0.2348453273325758,0.4846084268072273,0.24601804008406977
3,0.36746174904789203,0.6061862329745638,0.28019524453767225,0.23127037387701774,0.4809057848238236,0.2059093101090321
4,0.3602818166251123,0.6002348012445732,0.2754884231694305,0.24954136884520933,0.4995411583095124,0.21503699058166115
5,0.35652707363630526,0.5970988809538209,0.27101891749488194,0.2299824027224414,0.47956480555024195,0.2295318701975448
6,0.35093665714444244,0.5923990691623701,0.26758000699804063,0.22974809405784452,0.4793204502812753,0.2269183462665927
7,0.3481172224218321,0.5900145950922164,0.2658844409225403,0.23524930908805342,0.48502506026807873,0.22615262853202
8,0.34641791260163335,0.5885727759603169,0.2647384244288679,0.24483102165432946,0.4948040234823576,0.24012594984103275
9,0.34244049451447317,0.5851841543603801,0.2637879287874736,0.24450906740892078,0.49447858134495654,0.214742119592284
10,0.3411442313728948,0.5840755356740212,0.26277025846871666,0.23197874747246744,0.48164172106708886,0.21241074737602023
11,0.34012699703195964,0.5832040783739082,0.2622465875360488,0.23322170603249262,0.48293033248336414,0.2223724085316863
